update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
344,15,1792,256,1.5235831884816013,1.5945415039054416
345,15,2048,256,1.5266738143618461,1.5930817995909845
346,15,2304,256,1.5494479289509286,1.5916698049185654
347,15,2560,256,1.5356056105670997,1.590260914321163
348,15,2816,256,1.5512183368296997,1.588876883764495
349,15,3072,256,1.5312679975350771,1.587454540886645
350,15,3328,256,1.5171014603973898,1.5860592064080885
351,15,3584,256,1.5344004391533108,1.584694804470055
352,15,3840,256,1.5332250708391548,1.583316090548194
353,15,4096,256,1.5306358474687936,1.581855187145126
354,15,4352,256,1.538768314751021,1.580431256290583
355,15,4608,256,1.4850679593029015,1.578926053507828
356,15,4864,256,1.5174068313346767,1.577502215106093
357,15,5120,256,1.5337891774329035,1.5760550536059144
358,15,5376,256,1.4909647885220871,1.5747620906672128
359,15,5632,256,1.503170025207409,1.5733788170092555
360,15,5888,6,1.3551631189315492,1.5733385463624667
361,16,0,256,1.5388826897876882,1.5719664528204984
362,16,256,256,1.526808138428846,1.5706340336585254
363,16,512,256,1.520252848648244,1.5693019153908796
364,16,768,256,1.5488672350552957,1.5679338801533098
365,16,1024,256,1.4776590313314428,1.566502106146946
366,16,1280,256,1.547122994056843,1.565141837186941
367,16,1536,256,1.4815296263923374,1.5636934774307107
368,16,1792,256,1.4719698514364519,1.5623054753056247
369,16,2048,256,1.5152447734552545,1.5610100364707205
370,16,2304,256,1.4947256825998598,1.5596789883938553
371,16,2560,256,1.4966451936522285,1.5582994758726465
372,16,2816,256,1.500786273476863,1.5569207240818592
373,16,3072,256,1.523061672322819,1.5555960552697194
374,16,3328,256,1.4804138579779962,1.5542326969793692
375,16,3584,256,1.489200451799626,1.5529026216232802
376,16,3840,256,1.5044975029796839,1.5516208687910196
377,16,4096,256,1.4599793608539597,1.550279382631833
378,16,4352,256,1.5180960299147541,1.5489391322089763
379,16,4608,256,1.504496899814577,1.5476065261654277
380,16,4864,256,1.4787544704802678,1.546321979649155
381,16,5120,256,1.456530418846842,1.5449294045330286
382,16,5376,256,1.4751023927072213,1.5436737955186246
383,16,5632,256,1.4579585236496126,1.5422865787879816
384,16,5888,6,1.2563475384578517,1.542259951443411
385,17,0,256,1.530845666351234,1.5409853224060832
386,17,256,256,1.4635374823866036,1.5396499770136893
387,17,512,256,1.4459444944119508,1.538333990948317
388,17,768,256,1.4924539686498257,1.5370742231702184
389,17,1024,256,1.4898261516484705,1.5358350383454336
390,17,1280,256,1.4927198728346815,1.5345860920678338
391,17,1536,256,1.4778035734436383,1.533251584320417
392,17,1792,256,1.4673599006819702,1.531932784710546
393,17,2048,256,1.472628841389612,1.5306702082370334
394,17,2304,256,1.4638876203828706,1.529446438896111
395,17,2560,256,1.4667368816617508,1.5281122173195438
396,17,2816,256,1.4422026865176787,1.5268613054843911
397,17,3072,256,1.4445756263464682,1.5255502192321215
398,17,3328,256,1.455590983356887,1.5242819238150298
399,17,3584,256,1.4979074864644022,1.5229963925512562
400,17,3840,256,1.4665927368529088,1.5216970049730651
401,17,4096,256,1.4442447736036708,1.5203761987870306
402,17,4352,256,1.464388936264399,1.5191899491445946
403,17,4608,256,1.4414421488321767,1.5179424594977318
404,17,4864,256,1.4816633178646286,1.5166636678672767
